LON,LAT,DATASET,count_same
77.2,28.66666667,CH4,19
8.716666667,45.06666667,CH4,2
99.5,13.58333333,CH4,8
121.267,14.148,CH4,6
128.1183333,35.10916667,CH4,8
127.0422222,37.22277778,CH4,6
99.50583333,13.58611111,CH4,20
121.2652722,14.14102778,CH4,4
140.473,36.366,CH4,4
85.93,20.45555556,CH4,10
-8.737616667,39.03669167,CH4,2
85.93611111,20.45305556,CH4,2
11.48211389,44.69225278,CH4,3
100.605475,14.36521944,CH4,8
-5.666666667,39.1,CH4,12
-91.46,34.46,CH4,4
141.2166667,40.23333333,CH4,6
132.7833333,33.95,CH4,14
120.707,15.59236111,CH4,6
120.6255,15.7145,CH4,4
-89.99722222,35.81472222,CH4,5
79.5,11.0,CH4,28
-0.038377778,41.75885278,CH4,4
-0.3771,41.958325,CH4,3
141.7333333,43.3,CH4,4
-51.1,-29.95,CH4,3
91.53333333,22.89388889,CH4,2
90.405,23.53722222,CH4,2
110.1666667,-6.75,CH4,4
121.2597222,14.1625,CH4,33
107.5166667,16.46666667,CH4,40
140.15,36.2,CH4,2
-121.73,38.9,CH4,5
-121.7,39.01,CH4,5
-91.4,34.45,CH4,4
-91.41666667,34.45,CH4,2
110.0,-7.546666667,CH4,2
110.0,-7.637777778,CH4,2
49.64383333,37.20477778,CH4,5
115.5,-2.5,CH4,6
75.83333333,30.78333333,CH4,2
77.03333333,28.66666667,CH4,1
105.3333333,10.46666667,CH4,12
105.45,10.4,CH4,8
105.1166667,10.25,CH4,12
106.0,21.33333333,CH4,16
85.93333333,20.4494,CH4,5
104.5812167,11.06074722,CH4,8
-51.1,-29.9,CH4,12
85.93277778,20.45333333,CH4,8
128.0961861,35.14909167,CH4,3
90.4,24.75,CH4,6
0.633277778,40.70763889,CH4,4
92.81666667,26.68333333,CH4,16
85.93333333,20.45,CH4,5
126.9833333,37.25,CH4,6
127.55,34.93333333,CH4,5
-121.6542,38.1053,CH4,3
-121.7263889,38.1053,CH4,7
76.92111111,29.80972222,CH4,6
-1.294,6.6237,CH4,5
-54.38333333,-33.23333333,CH4,6
-53.72183333,-29.71666667,CH4,8
140.5,39.48333333,CH4,8
139.4716667,35.66583333,CH4,2
85.916667,20.416667,CH4,17
139.416,35.975,CH4,4
85.935833,20.452778,CH4,4
128.10111,35.156103,CH4,3
-0.632222,40.708333,CH4,9
-0.038333,41.758889,CH4,4
106.354233,21.004967,CH4,28
121.259722,14.1625,CH4,15
127.0422,45.82525,CH4,3
140.12,36.074,CH4,4
128.096186,35.149092,CH4,16
132.788889,33.963333,CH4,2
141.416667,43.016667,CH4,12
86.566667,20.733333,CH4,24
128.433333,36.833333,CH4,4
128.75,36.6,CH4,4
