temp,pre
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
14.270834,891.80005
17.733334,1952.6
17.733334,1952.6
17.733334,1952.6
17.733334,1952.6
18.025002,2027.9001
18.025002,2027.9001
18.025002,2027.9001
18.025002,2027.9001
18.658333,1360.7
18.658333,1360.7
17.5,1771.8
17.5,1771.8
17.5,1771.8
17.5,1771.8
17.5,1771.8
17.5,1771.8
17.5,1771.8
17.5,1771.8
18.333332,1276.6
18.333332,1276.6
18.333332,1276.6
18.333332,1276.6
18.333332,1276.6
18.333332,1276.6
18.333332,1276.6
18.333332,1276.6
18.166666,1404.7001
18.166666,1404.7001
18.166666,1404.7001
18.166666,1404.7001
18.166666,1404.7001
18.166666,1404.7001
18.166666,1404.7001
18.166666,1404.7001
8.620834,658.55
8.620834,658.55
8.620834,658.55
8.620834,658.55
17.758333,1271.5999
17.758333,1271.5999
17.758333,1271.5999
17.758333,1271.5999
17.758333,1271.5999
17.758333,1271.5999
17.566666,1486.2
17.566666,1486.2
17.566666,1486.2
17.566666,1486.2
16.633333,999.0
16.633333,999.0
16.633333,999.0
16.633333,999.0
16.35,1187.1
16.35,1187.1
16.199999,1273.3
16.199999,1273.3
17.441668,1131.6001
17.441668,1131.6001
17.958334,1436.2
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.35,1043.9
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.041666,2060.4001
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.875002,1385.8
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.875,1530.1001
17.875,1530.1001
17.875,1530.1001
17.875,1530.1001
17.316668,1026.4
17.316668,1026.4
16.641666,1289.4001
16.641666,1289.4001
17.791668,989.9001
17.791668,989.9001
17.791668,989.9001
17.5,1771.8
17.5,1771.8
17.5,1771.8
16.941668,1240.2001
16.941668,1240.2001
17.758333,1062.3
17.758333,1062.3
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.066666,2452.2
19.066666,2452.2
19.066666,2452.2
19.066666,2452.2
19.066666,2452.2
19.066666,2452.2
19.066666,2452.2
19.066666,2452.2
17.091667,968.9001
17.091667,968.9001
17.075,1207.9
17.075,1207.9
17.633335,978.30005
17.633335,978.30005
17.475,1033.0
17.475,1033.0
17.475,1033.0
18.1,750.4
18.1,750.4
18.1,750.4
19.408333,1878.6002
19.408333,1878.6002
19.408333,1878.6002
19.408333,1878.6002
19.408333,1878.6002
19.408333,1878.6002
19.408333,1878.6002
19.408333,1878.6002
16.941668,1225.0001
17.108334,864.39996
17.108334,864.39996
17.108334,864.39996
17.108334,864.39996
17.108334,864.39996
17.108334,864.39996
19.633333,1775.9
19.633333,1775.9
19.633333,1775.9
19.633333,1775.9
16.825,1278.6
16.825,1278.6
16.825,1278.6
16.825,1278.6
16.825,1278.6
16.825,1278.6
16.825,1278.6
17.883335,1091.2001
17.808332,1194.9
17.708334,1105.5
3.7583334,686.2
3.7583334,686.2
3.7583334,686.2
3.7583334,686.2
3.7583334,686.2
3.7583334,686.2
3.7583334,686.2
3.7583334,686.2
4.0,631.8
4.0,631.8
4.0,631.8
4.0,631.8
4.0,631.8
4.0,631.8
4.0,631.8
4.0,631.8
18.058334,1116.8
17.733335,1084.4
18.433334,2608.4001
18.433334,2608.4001
18.433334,2608.4001
18.433334,2608.4001
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
17.758333,1062.3
17.758333,1062.3
17.741667,1164.8
17.741667,1164.8
17.5,1771.8
17.5,1771.8
18.891668,1084.2999
18.891668,1084.2999
18.891668,1084.2999
18.708334,1263.2
18.708334,1263.2
18.708334,1263.2
18.391668,1955.7001
18.391668,1955.7001
19.058332,1407.0
19.058332,1407.0
19.058332,1407.0
19.058332,1407.0
19.2,1598.5001
19.2,1598.5001
6.841667,521.50006
6.841667,521.50006
6.841667,521.50006
7.4166665,491.3
7.4166665,491.3
7.4166665,491.3
6.841667,521.50006
6.841667,521.50006
6.841667,521.50006
7.4166665,491.3
7.4166665,491.3
7.4166665,491.3
22.725,1693.4
22.716667,1515.2002
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.216665,1264.6
18.275002,2390.5
18.275002,2390.5
18.275002,2390.5
18.275002,2390.5
18.275002,2390.5
18.275002,2390.5
18.275002,2390.5
18.275002,2390.5
18.841667,1657.0
18.841667,1657.0
18.841667,1657.0
18.841667,1657.0
18.841667,1657.0
18.841667,1657.0
18.841667,1657.0
18.841667,1657.0
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
19.0,2099.2002
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.941666,1245.9
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
17.391666,1418.8998
16.316668,1240.3999
16.316668,1240.3999
16.316668,1240.3999
17.008333,988.3
17.008333,988.3
17.008333,988.3
17.008333,988.3
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.875,1984.8
21.941668,2420.4004
21.941668,2420.4004
21.941668,2420.4004
21.941668,2420.4004
21.941668,2420.4004
21.941668,2420.4004
