target,source,weight
N runoff,Frost days,0.035089750173377385
N runoff,Wet days,0.06834366122073521
N runoff,VAP,0.027008985085489105
N runoff,DTR,0.03293258909812936
N runoff,Sand,0.003968569426393081
N runoff,Silt,0.014380755725939004
N runoff,Clay,0.011702341164891794
N runoff,Soil PH,0.01644315211583394
N runoff,Soil total N,0.07505601661750769
N runoff,SOM,0.05270204847275688
N runoff,Bulk density,0.0322448055257832
N runoff,Inorganic N,0.2605263476840914
N runoff,SRF,0.04779012666497878
N runoff,Inorganic P,0.018532078800319166
N runoff,Inorganic K,0.02856768760902591
N runoff,Organic N,0.017499115100156157
N runoff,Straw,0.0046307770312924825
N runoff,CF,0.0008157588422942903
N runoff,MD,0.011327386030196628
N runoff,II,0.00656911089252778
N runoff,Rainfed,0.0
N runoff,Biochar,0.0057985871568370815
N runoff,Tillage,0.00031464165922371023
NO,Temperature,0.11255258341093737
NO,Precipitation,0.09060548648230482
NO,PET,0.012325172018181235
NO,Frost days,0.011280072164436827
NO,Wet days,0.07442979293594239
NO,VAP,0.004475246021760263
NO,DTR,0.01403002764551848
NO,Sand,0.009896336603892558
NO,Silt,0.0061217161824078745
NO,Clay,0.012094549424757189
NO,Soil PH,0.5026200478176972
NO,Soil total N,0.001386654833878751
NO,SOM,0.005012392315304874
NO,Bulk density,0.0020113793274578093
NO,Inorganic N,0.12126077576769591
NO,SRF,0.0030915104612159942
NO,Inorganic P,0.0020843611608198486
NO,Inorganic K,0.007879118729765787
NO,Organic N,0.00073857615362384
NO,Straw,4.3789100017223714e-05
NO,CF,0.0
NO,MD,0.0
NO,II,0.0
NO,Rainfed,0.0
NO,Biochar,0.006060411442383762
NO,Tillage,0.0
